"devicedb_id","hubelean_id","location_name","location_address","longitude","latitude","TotalNbOfConnectors","ConnectorType"
"10355","UAE-HBN-CCL217","BUR DUBAI-Dubai Police Academy - Gen. Dept. of Training","Dubai, United Arab Emirates","55.1952649","25.124036","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10356","UAE-HBN-CCL216","DEIRA-ENOC Petrol Station (1064) Warsan 3  E611","ENOC, Dubai, United Arab Emirates","55.478","25.151","3","Combo CCS , ChaDeMo , 62196-2 (Three Phase)"
"10357","UAE-HBN-CCL218","DEIRA-Dubai Police, Muraqqabat Police Station","Dubai, United Arab Emirates","55.3292222","25.2699722","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10358","UAE-HBN-CCL219","DEIRA-Dubai Police, Qusais Police Station","Dubai, United Arab Emirates","55.3913888","25.2648888","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10359","UAE-HBN-CCL220","BUR DUBAI-City Walk-1","MEERAS, Dubai, United Arab Emirates","55.258","25.211","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10360","UAE-HBN-CCL3","BUR DUBAI-Al Quoz Sustainable Building 04","DEWA, Dubai, United Arab Emirates","55.232","25.154","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10361","UAE-HBN-CCL221","DEIRA-ADNOC Petrol Station, Umm Eselay","Dubai, United Arab Emirates","55.56","24.863","3","Combo CCS , ChaDeMo , 62196-2 (Three Phase)"
"10362","UAE-HBN-CCL222","J.ALI-Dubai Police, Jebel Ali Police Station","Dubai, United Arab Emirates","55.148","25.003","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10363","UAE-HBN-CCL223","BUR DUBAI-Dubai Police Officers Club, Jaddaf","Dubai, United Arab Emirates","55.3260196","25.2240413","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10364","UAE-HBN-CCL224","DEIRA-Dubai Courts, Rowaiyah-3","Dubai, United Arab Emirates","55.503","25.15","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10365","UAE-HBN-CCL225","DEIRA-Mai Dubai Head Quartres - Private","Al Yalais-5, Dubai, United Arab Emirates","55.27443","25.00284","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10366","UAE-HBN-CCL226","BUR DUBAI-Times Square Center,Basement Parking-276","Al Quoz Ind-1, Dubai, United Arab Emirates","55.2198888","25.1397777","1","62196-2 (Three Phase)"
"10367","UAE-HBN-CCL227","BUR DUBAI -Times Square Center,Basement Parking-277","Al Quoz Ind-1, Dubai, United Arab Emirates","55.22","25.14","1","62196-2 (Three Phase)"
"10368","UAE-HBN-CCL228","BUR DUBAI-Times Square Center,Basement Parking-278","Al Quoz Ind-1, Dubai, United Arab Emirates","55.22","25.14","1","62196-2 (Three Phase)"
"10373","UAE-HBN-CCL233","BUR DUBAI Police, Gen. Dept. of Protective Security & Emergency (Left side)","Dubai, United Arab Emirates","55.256","25.209","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10374","UAE-HBN-CCL234","BUR DUBAI-Dubai Police, Gen. Dept. of Protective Security & Emergency  (Right Side)","Dubai, United Arab Emirates","55.256","25.209","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10379","UAE-HBN-CCL239","J.ALI-Emicool - Plant 7","Motor City, Dubai, United Arab Emirates","55.239","25.042","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10380","UAE-HBN-CCL240","J.ALI-Emicool - Plant 1 - Corporate Office","Greens-DIP, Dubai, United Arab Emirates","55.16","25.009","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10381","UAE-HBN-CCL241","DEIRA-Dubai Police HQ-Decision Support Area -01","Dubai, United Arab Emirates","55.356","25.277","1","62196-2 (Three Phase)"
"10382","UAE-HBN-CCL242","DEIRA-Dubai Police HQ-Decision Support Area -02 - Dubai","Dubai, United Arab Emirates","55.356","25.277","1","62196-2 (Three Phase)"
"10383","UAE-HBN-CCL243","DEIRA-Dubai Police HQ-Decision Support Area -03","Dubai, United Arab Emirates","55.356","25.277","1","62196-2 (Three Phase)"
"10384","UAE-HBN-CCL244","DEIRA-Dubai Police HQ-Museum Area -01","25.27843, 55.35578, Dubai, United Arab Emirates","55.356","25.278","1","62196-2 (Three Phase)"
"10385","UAE-HBN-CCL245","DEIRA-Dubai Police HQ-Museum Area -02","25.278426, 55.355781, Dubai, United Arab Emirates","55.356","25.278","1","62196-2 (Three Phase)"
"10386","UAE-HBN-CCL246","DEIRA-Dubai Police HQ-Museum Area -03","25.278417, 55.355795, Dubai, United Arab Emirates","55.356","25.278","1","62196-2 (Three Phase)"
"10387","UAE-HBN-CCL247","BUR DUBAI-Dubai Police, Bur Dubai Police Station","Jafiliya, Dubai, United Arab Emirates","55.289","25.232","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10388","UAE-HBN-CCL248","BUR DUBAI-Mohammed bin Rashid Library,Front Parking","Jedaf, Dubai, United Arab Emirates","55.3431944","25.2208611","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10389","UAE-HBN-CCL249","BUR DUBAI-Mohammed bin Rashid Library,Basement Parking","Jedaf, Dubai, United Arab Emirates","55.3434331","25.2215808","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10390","UAE-HBN-CCL250","BUR DUBAI-Al Maktoum Stadium","Oud Metha, Dubai, United Arab Emirates","55.3118364","25.2395572","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
"10391","UAE-HBN-CCL251","DEIRA-Dubai Police HQ-Parking Area - 01","Dubai, United Arab Emirates","55.353","25.274","1","62196-2 (Three Phase)"
"10394","UAE-HBN-CCL254","BUR DUBAI-Central Park Tower,Visitors Parking","DIFC, Dubai, United Arab Emirates","55.27458","25.20555","2","62196-2 (Three Phase) , 62196-2 (Three Phase)"
