Community Code,Sector & Community ,Population Density (person/km2),Area,Total Population
101,NAKHLAT DEIRA,0.0,99.6,2
111,AL CORNICHE,"4,241.6",0.6,"2,593"
112,AL RASS,"26,649.2",0.3,"8,067"
113,AL DHAGAYA,"94,705.7",0.2,"16,723"
114,AL BUTEEN,"20,407.6",0.1,"3,016"
115,AL SABKHA,"57,532.1",0.1,"4,205"
116,AYAL NASIR,"114,500.2",0.2,"19,820"
117,AL MURAR,"103,440.4",0.4,"40,105"
118,NAIF,"71,027.3",0.7,"53,075"
119,AL REGA,"16,960.3",0.7,"11,097"
121,CORNICHE DEIRA,17.2,0.9,15
122,AL BARAHA,"25,200.8",1.0,"25,839"
123,AL MUTEENA,"43,789.0",1.1,"48,739"
124,AL MURQABAT,"48,547.5",1.5,"73,087"
125,REGA AL BUTEEN,"9,345.6",0.8,"7,538"
126,ABU HAIL,"14,164.5",1.3,"18,043"
127,HOR AL ANZ,"48,360.8",1.8,"84,661"
128,AL KHBEESI,"1,639.3",1.2,"2,011"
129,PORT SAEED,"5,270.3",2.7,"14,241"
131,AL HAMRIYA PORT,443.1,1.2,510
132,AL WAHEDA,"15,085.7",1.4,"21,608"
133,HOR AL ANZ EAST,"15,992.4",1.4,"22,026"
134,AL MAMZER,"2,851.3",5.8,"16,534"
213,NAD SHAMMA,"3,023.9",1.1,"3,305"
214,AL GARHOUD,"4,879.2",4.0,"19,726"
215,UM RAMOOL,841.5,3.6,"3,069"
216,AL RASHIDIYA,"7,937.8",4.8,"38,425"
221,DUBAI  AIRPORT,8.5,14.2,121
226,AL TWAR FIRST,"4,724.7",2.6,"12,114"
227,AL TWAR SECOND,"4,562.2",1.1,"5,068"
228,AL TWAR THIRD,"3,769.2",3.0,"11,185"
231,AL NAHDA FIRST,"19,310.5",1.7,"32,757"
232,AL QUSAIS FIRST,"17,711.6",2.7,"48,378"
233,AL QUSAIS SECOND,"7,174.6",1.8,"12,851"
234,AL QUSAIS THIRD,"3,327.0",2.3,"7,513"
241,AL NAHDA SECOND,"29,145.8",2.2,"64,458"
242,AL QUSAIS IND. FIRST,"7,519.9",1.4,"10,813"
243,AL QUSAIS IND. SECOND,"5,444.6",1.7,"9,410"
244,MUHAISANAH THIRD,"3,915.5",1.8,"6,865"
245,MUHAISANAH FOURTH,"15,431.9",2.3,"35,861"
246,AL QUSAIS IND. THIRD,"3,029.0",0.9,"2,802"
247,AL QUSAIS IND. FOURTH,"3,936.8",0.7,"2,865"
248,AL QUSAIS IND FIFTH,"1,136.3",2.4,"2,722"
251,MURDAF,"7,137.3",9.4,"66,736"
252,MUSHRAIF,6.7,10.5,70
261,MUHAISANAH FIRST,"1,732.4",5.0,"8,616"
262,AL MEZHAR FIRST,"2,549.0",6.9,"17,498"
263,AL MEZHAR SECOND,"2,779.0",4.3,"11,967"
264,MUHAISANAH SECOND ,"26,684.0",5.6,"148,832"
265,OUD AL MUTEEN FIRST,"4,276.2",3.6,"15,514"
266,OUD AL MUTEEN SECOND ,"2,398.5",2.4,"5,820"
267,MUHAISANAH FIFTH,1.0,2.0,2
268,OUD AL MUTEEN THIRD ,"5,154.8",1.4,"7,061"
271,WADI ALAMRADI,147.4,24.2,"3,565"
281,AL KHAWANEEJ ONE,830.7,16.4,"13,634"
282,AL KHAWANEEJ TWO,433.8,12.7,"5,507"
283,AL AYAS,175.2,10.5,"1,843"
284,AL TTAY,"3,235.4",3.3,"10,659"
302,JUMEIRA BAY,41.4,1.0,41
303,WORLD ISLANDS,0.1,74.1,7
304,JUMEIRA ISLAND 2,25.7,0.1,3
311,AL SHANDAGA,22.5,0.3,7
312,AL SUQ AL KABEER,"59,934.1",0.9,"52,439"
313,AL HAMRIYA,"46,158.9",0.8,"38,215"
314,UM HURAIR FIRST,"6,582.6",1.0,"6,482"
315,UM HURAIR SECOND,"1,658.2",3.4,"5,633"
316,AL RAFFA,"39,523.2",1.2,"48,546"
317,AL MANKHOOL,"21,039.8",2.0,"41,244"
